id,gid,"date",newcount,"version",step,retention,retentionrate
60472,1,"2017-12-06 00:00:00",131,"android-notin-coupon",17,27,0.206107
60473,1,"2017-12-18 00:00:00",99,"coupon_used",20,11,0.111111
60474,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",18,5,0.227273
60475,1,"2017-12-18 00:00:00",99,"coupon_used",21,13,0.131313
60476,1,"2017-12-06 00:00:00",131,"android-notin-coupon",18,23,0.175573
60477,1,"2017-12-18 00:00:00",99,"coupon_used",22,11,0.111111
60478,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",19,4,0.181818
60479,1,"2017-12-18 00:00:00",99,"coupon_used",23,9,0.0909091
60480,1,"2017-12-06 00:00:00",131,"android-notin-coupon",19,31,0.236641
60481,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",20,3,0.136364
60482,1,"2017-12-18 00:00:00",99,"coupon_used",24,15,0.151515
60483,1,"2017-12-06 00:00:00",131,"android-notin-coupon",20,24,0.183206
60484,1,"2017-12-18 00:00:00",99,"coupon_used",25,9,0.0909091
60485,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",21,9,0.409091
60486,1,"2017-12-18 00:00:00",99,"coupon_used",26,9,0.0909091
60487,1,"2017-12-06 00:00:00",131,"android-notin-coupon",21,28,0.21374
60488,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",22,6,0.272727
60489,1,"2017-12-18 00:00:00",99,"coupon_used",27,11,0.111111
60490,1,"2017-12-06 00:00:00",131,"android-notin-coupon",22,29,0.221374
60491,1,"2017-12-18 00:00:00",99,"coupon_used",28,10,0.10101
60492,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",23,1,0.0454545
60493,1,"2017-12-18 00:00:00",99,"coupon_used",29,8,0.0808081
60494,1,"2017-12-06 00:00:00",131,"android-notin-coupon",23,30,0.229008
60495,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",24,3,0.136364
60496,1,"2017-12-18 00:00:00",99,"coupon_used",30,8,0.0808081
60497,1,"2017-12-06 00:00:00",131,"android-notin-coupon",24,22,0.167939
60498,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",25,2,0.0909091
60499,1,"2017-12-18 00:00:00",99,"coupon_used",31,9,0.0909091
60500,1,"2017-12-06 00:00:00",131,"android-notin-coupon",25,20,0.152672
60501,1,"2017-12-06 00:00:00",22,"ios-notin-coupon",26,2,0.0909091
60502,1,"2017-12-18 00:00:00",99,"coupon_used",32,14,0.141414
60503,1,"2017-12-06 00:00:00",131,"android-notin-coupon",26,23,0.175573
60504,1,"2017-12-18 00:00:00",99,"coupon_used",33,10,0.10101
60505,1,"2017-12-18 00:00:00",99,"coupon_used",34,11,0.111111
60506,1,"2017-12-18 00:00:00",99,"coupon_used",35,10,0.10101
60507,1,"2017-12-18 00:00:00",99,"coupon_used",36,11,0.111111
60508,1,"2017-12-18 00:00:00",99,"coupon_used",37,10,0.10101
60509,1,"2017-12-18 00:00:00",99,"coupon_used",38,7,0.0707071
60510,1,"2017-12-18 00:00:00",99,"coupon_used",39,7,0.0707071
60511,1,"2017-12-18 00:00:00",99,"coupon_used",40,7,0.0707071
60512,1,"2017-12-18 00:00:00",99,"coupon_used",41,5,0.050505
60513,1,"2017-12-18 00:00:00",99,"coupon_used",42,5,0.050505
60514,1,"2017-12-07 00:00:00",1,"-notin-coupon",1,0,0
60515,1,"2017-12-18 00:00:00",99,"coupon_used",43,9,0.0909091
60516,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",1,14,0.482759
60517,1,"2017-12-07 00:00:00",134,"android-notin-coupon",1,48,0.358209
60518,1,"2017-12-18 00:00:00",99,"coupon_used",44,9,0.0909091
60519,1,"2017-12-07 00:00:00",1,"-notin-coupon",2,0,0
60520,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",2,10,0.344828
60521,1,"2017-12-18 00:00:00",99,"coupon_used",45,6,0.0606061
60522,1,"2017-12-07 00:00:00",134,"android-notin-coupon",2,41,0.30597
60523,1,"2017-12-18 00:00:00",99,"coupon_used",46,11,0.111111
60524,1,"2017-12-07 00:00:00",1,"-notin-coupon",3,0,0
60525,1,"2017-12-18 00:00:00",99,"coupon_used",47,7,0.0707071
60526,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",3,6,0.206897
60527,1,"2017-12-07 00:00:00",134,"android-notin-coupon",3,37,0.276119
60528,1,"2017-12-18 00:00:00",99,"coupon_used",48,8,0.0808081
60529,1,"2017-12-07 00:00:00",1,"-notin-coupon",4,0,0
60530,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",4,9,0.310345
60531,1,"2017-12-18 00:00:00",99,"coupon_used",49,10,0.10101
60532,1,"2017-12-07 00:00:00",134,"android-notin-coupon",4,32,0.238806
60533,1,"2017-12-07 00:00:00",1,"-notin-coupon",5,0,0
60534,1,"2017-12-18 00:00:00",99,"coupon_used",50,7,0.0707071
60535,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",5,10,0.344828
60536,1,"2017-12-07 00:00:00",134,"android-notin-coupon",5,30,0.223881
60537,1,"2017-12-18 00:00:00",99,"coupon_used",51,8,0.0808081
60538,1,"2017-12-07 00:00:00",1,"-notin-coupon",6,0,0
60539,1,"2017-12-18 00:00:00",99,"coupon_used",52,6,0.0606061
60540,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",6,8,0.275862
60541,1,"2017-12-07 00:00:00",134,"android-notin-coupon",6,25,0.186567
60542,1,"2017-12-18 00:00:00",99,"coupon_used",53,4,0.040404
60543,1,"2017-12-07 00:00:00",1,"-notin-coupon",7,0,0
60544,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",7,7,0.241379
60545,1,"2017-12-18 00:00:00",99,"coupon_used",54,6,0.0606061
60546,1,"2017-12-07 00:00:00",134,"android-notin-coupon",7,27,0.201493
60547,1,"2017-12-07 00:00:00",1,"-notin-coupon",8,0,0
60548,1,"2017-12-18 00:00:00",99,"coupon_used",55,6,0.0606061
60549,1,"2017-12-07 00:00:00",29,"ios-notin-coupon",8,3,0.103448
60550,1,"2017-12-18 00:00:00",99,"coupon_used",56,6,0.0606061
